"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2016","66.546","66.556","66.605","66.430","","-0.02%"
"10/04/2016","66.609","66.494","66.625","66.381","","0.09%"
"10/05/2016","66.572","66.613","66.675","66.503","","-0.06%"
"10/06/2016","66.697","66.574","66.796","66.554","","0.19%"
"10/07/2016","66.602","66.696","66.885","66.536","","-0.14%"
"10/10/2016","66.492","66.602","66.615","66.473","","-0.17%"
"10/11/2016","66.834","66.508","66.866","66.493","","0.51%"
"10/12/2016","66.812","66.819","66.888","66.730","","-0.03%"
"10/13/2016","66.794","66.827","66.988","66.725","","-0.03%"
"10/14/2016","66.717","66.794","66.905","66.640","","-0.12%"
"10/17/2016","66.789","66.718","66.895","66.715","","0.11%"
"10/18/2016","66.733","66.789","66.845","66.645","","-0.08%"
"10/19/2016","66.645","66.740","66.768","66.610","","-0.13%"
"10/20/2016","66.830","66.638","66.870","66.616","","0.28%"
"10/21/2016","66.926","66.852","67.005","66.770","","0.14%"
"10/24/2016","66.845","66.921","66.953","66.770","","-0.12%"
"10/25/2016","66.806","66.851","66.938","66.750","","-0.06%"
"10/26/2016","66.863","66.812","66.900","66.751","","0.09%"
"10/27/2016","66.881","66.862","66.963","66.790","","0.03%"
"10/28/2016","66.778","66.897","66.936","66.715","","-0.15%"
"10/31/2016","66.686","66.779","66.800","66.650","","-0.14%"
"11/01/2016","66.696","66.685","66.785","66.665","","0.01%"
"11/02/2016","66.762","66.695","66.867","66.631","","0.10%"
"11/03/2016","66.668","66.778","66.797","66.635","","-0.14%"
"11/04/2016","66.796","66.665","66.822","66.655","","0.19%"
"11/07/2016","66.745","66.795","66.805","66.673","","-0.08%"
"11/08/2016","66.246","66.745","66.747","66.242","","-0.75%"
"11/09/2016","66.515","66.246","66.925","66.227","","0.41%"
"11/10/2016","66.865","66.468","66.873","66.325","","0.53%"
"11/11/2016","67.565","67.276","67.565","66.955","","1.05%"
"11/14/2016","67.785","67.520","67.798","67.460","","0.33%"
"11/15/2016","67.786","67.786","67.873","67.525","","0.00%"
"11/16/2016","67.999","67.785","68.125","67.611","","0.31%"
"11/17/2016","68.023","67.985","68.084","67.764","","0.04%"
"11/18/2016","68.191","68.030","68.250","67.940","","0.25%"
"11/21/2016","68.228","68.185","68.292","68.015","","0.05%"
"11/22/2016","68.396","68.225","68.490","68.074","","0.25%"
"11/23/2016","68.784","68.395","68.905","68.355","","0.57%"
"11/24/2016","68.761","68.810","68.873","68.574","","-0.03%"
"11/25/2016","68.519","68.755","68.760","68.300","","-0.35%"
"11/28/2016","68.579","68.519","68.805","68.355","","0.09%"
"11/29/2016","68.615","68.575","68.783","68.561","","0.05%"
"11/30/2016","68.598","68.615","68.710","68.364","","-0.02%"
"12/01/2016","68.236","68.595","68.597","68.194","","-0.53%"
"12/02/2016","68.031","68.235","68.387","68.014","","-0.30%"
"12/05/2016","68.025","68.026","68.275","68.019","","-0.01%"
"12/06/2016","67.742","68.026","68.153","67.675","","-0.42%"
"12/07/2016","67.438","67.738","67.977","67.425","","-0.45%"
"12/08/2016","67.546","67.445","67.571","67.314","","0.16%"
"12/09/2016","67.470","67.410","67.635","67.364","","-0.11%"
"12/12/2016","67.431","67.471","67.643","67.370","","-0.06%"
