"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2023","350.95","370.00","370.00","370.00","0.06K","-5.21%"
"08-01-2023","370.25","397.00","397.00","377.00","0.48K","-6.54%"
"01-01-2023","396.15","396.00","400.00","390.00","0.29K","-1.98%"
"25-12-2022","404.15","402.50","402.50","402.50","0.00K","0.76%"
"18-12-2022","401.10","401.35","401.35","401.35","0.01K","-0.47%"
"11-12-2022","403.00","401.00","405.00","401.00","0.17K","0.12%"
"04-12-2022","402.50","405.00","405.00","400.00","0.06K","2.94%"
"27-11-2022","391.00","380.00","397.00","380.00","0.11K","11.91%"
"20-11-2022","349.40","347.75","347.75","347.75","0.01K","1.73%"
"13-11-2022","343.45","343.45","343.45","343.45","0.05K","5.09%"
"06-11-2022","326.80","347.00","347.00","325.00","0.23K","-6.49%"
"30-10-2022","349.50","362.50","362.50","354.00","0.16K","-9.39%"
"23-10-2022","385.70","385.70","385.70","385.70","0.09K","-1.10%"
"16-10-2022","390.00","390.00","390.00","390.00","0.03K","-0.64%"
"09-10-2022","392.50","405.00","405.00","397.00","0.11K","1.74%"
"02-10-2022","385.80","399.00","399.00","385.00","0.19K","-11.04%"
"25-09-2022","433.70","433.70","433.70","433.70","","-0.34%"
"18-09-2022","435.20","440.00","440.00","440.00","0.03K","-0.87%"
"11-09-2022","439.00","437.00","438.00","436.00","0.08K","0.86%"
"04-09-2022","435.25","430.00","440.00","430.00","0.04K","0.06%"
"28-08-2022","435.00","435.00","435.00","435.00","0.01K","4.22%"
"21-08-2022","417.40","417.40","417.40","417.40","","0.28%"
"14-08-2022","416.25","416.25","416.25","416.25","","2.11%"
"07-08-2022","407.65","407.65","407.65","407.65","0.02K","12.92%"
"31-07-2022","361.00","390.00","390.00","390.00","0.08K","-11.50%"
"24-07-2022","407.90","407.90","407.90","407.90","","-0.32%"
"17-07-2022","409.20","399.00","399.00","399.00","0.00K","0.65%"
"10-07-2022","406.55","426.00","432.00","410.00","0.02K","-1.74%"
"03-07-2022","413.75","411.00","412.00","411.00","0.04K","6.64%"
"26-06-2022","388.00","389.00","395.00","380.00","0.08K","-2.27%"
"19-06-2022","397.00","395.00","395.00","395.00","0.01K","1.96%"
"12-06-2022","389.35","383.00","395.00","383.00","0.02K","-0.76%"
"05-06-2022","392.35","408.00","408.00","392.00","0.13K","-4.88%"
"29-05-2022","412.50","390.00","428.00","390.00","0.10K","1.44%"
"22-05-2022","406.65","408.00","408.00","400.00","0.05K","-2.54%"
"15-05-2022","417.25","414.00","419.25","412.00","0.21K","6.21%"
"08-05-2022","392.85","378.00","393.00","374.00","0.16K","3.52%"
"01-05-2022","379.50","325.00","355.00","325.00","0.23K","16.20%"
"24-04-2022","326.60","328.50","328.50","326.05","0.09K","-0.15%"
"17-04-2022","327.10","321.00","333.00","321.00","0.08K","5.82%"
"10-04-2022","309.10","292.00","314.00","292.00","0.15K","6.00%"
"03-04-2022","291.60","296.00","296.00","285.00","0.29K","12.70%"
"27-03-2022","258.75","261.00","264.00","258.00","0.30K","-20.91%"
"20-03-2022","327.15","330.00","330.00","325.00","0.01K","-2.63%"
"13-03-2022","336.00","361.50","361.50","334.50","0.14K","-8.86%"
"06-03-2022","368.65","415.00","425.00","366.00","0.58K","-11.96%"
"27-02-2022","418.75","262.50","435.00","262.50","0.48K","75.50%"
"20-02-2022","238.60","236.50","239.25","235.00","0.05K","2.69%"
"13-02-2022","232.35","243.50","243.50","232.50","0.03K","-5.16%"
